"SYS.STBR-NAME","PO-NO","PO-TYPE","PO-STAT","REQUESTED-BY-NAME-DR","CREATE-DATE4-DV","CREATED-BY-DV","PO-PRT-DATE","VEND-NO","VEND-NAME","INV-DATE-DV","TOT-PO-AMT-CAT","PO-LINE-QTY","PO-LINE-DESC","PO-LINE-PRICE"
"Honda of Concord",073626,"T","A","AMY HINSON",,,"06/16/25",1332,"HUNTER AUTO & WRECKER SERVICE INC",,794.50,,"TOW BILL",794.50
"Honda of Concord",073627,"T","A",,"12/13/2010","acctg01","06/16/25",167986,"LEBLEUS TOWING LLC",,80.00,,"TOW FROM DODGE",80.00
"Honda of Concord",165573,"P","O",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,12.64,1,"NP22302-66 CFILTER",12.64
"Honda of Concord",165574,"P","O",,,,"06/16/25",1171,"LAKE NORMAN CHRYSLER JEEP DODGE",,543.00,1,"68299131-AH HEADLAMP 08034001",543.00
"Honda of Concord",165575,"P","O",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,9.38,1,"NP224871 CFILTER",9.38
"Honda of Concord",165576,"P","A",,"07/27/2005",,"06/16/25
06/16/25",30823,"STATELINE CHRYSLER JEEP DODGE RAM",,28.90,1,"5281427-AA INJECTOR 14099006",28.90
"Honda of Concord",165577,"P","A",,"07/27/2005",,"06/16/25
06/16/25",30823,"STATELINE CHRYSLER JEEP DODGE RAM",,72.85,1,"5149180-AB SENSOR OX 14029055",72.85
"Honda of Concord",165578,"P","A",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,23.50,1,"CHNPQF0471",23.50
"Honda of Concord",165579,"T","R",,"11/30/2007","acctg01","06/16/25
06/16/25",145395,"GATTON'S TOWING SERVICE",,125.00,,"TOW",125.00
"Honda of Concord",165580,"P","O",,"07/27/2005",,"06/16/25",30823,"STATELINE CHRYSLER JEEP DODGE RAM",,86.30,1,"68280783-AE HOSE/TUBE 24028023",86.30
"Honda of Concord",165581,"P","O",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,0.01,1,"CHNP213311-8E",0.01
"Honda of Concord",165582,"P","A",,"01/22/2013","parts01","06/16/25
06/16/25",195895,"NAPA AUTO PARTS",,17.08,1,"NPAR143 RELAY",17.08
"Honda of Concord",165583,"P","O",,"07/27/2005",,"06/16/25",30823,"STATELINE CHRYSLER JEEP DODGE RAM",,580.00,1,"68335438-AC FASCIA FR 23034020",580.00
"Honda of Concord",165584,"P","V",,,,,,,,0.00,,,
"Honda of Concord",165585,"T","R",,"09/24/2004","acctg01","06/16/25",113622,"H&H TOWING",,130.00,,"TOW BILL",130.00
"Honda of Concord",165586,"P","V",,"02/28/2011","acctg01",,170814,"O'REILLY AUTO PARTS",,0.00,,,
"Honda of Concord",165587,"T","R",,"05/22/2007","acctg01","06/16/25",141269,"BUMPER MAN, INC.",,150.00,,"front bumper",150.00
"Honda of Concord",165588,"T","R",,"05/22/2007","acctg01","06/16/25",141269,"BUMPER MAN, INC.",,270.00,,"front/rear",270.00
"Honda of Concord",165589,"T","R",,"05/22/2007","acctg01","06/16/25",141269,"BUMPER MAN, INC.",,135.00,,"back texture",135.00
"Honda of Concord",165590,"P","O",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,198.00,1,"68410780-AH HOUSING F 23004241",198.00
"Honda of Concord",165591,"P","O",,"02/23/2016","parts04","06/16/25",289188,"WHEEL PROS, LLC",,1847.39,"1
1
4","CHRL66-2726
CHRL67232-10
CHFC889BE20908720","344.95
59.96
360.62"
"Honda of Concord",165592,"P","O",,,,"06/16/25",1086,"KEYSTONE AUTOMOTIVE-CHARLOTTE",,231.02,1,"CHHT730125",231.02
"Honda of Concord",165593,"P","O",,"03/20/2014","parts01","06/16/25",214279,"CAPITAL FORD INC. (CHARLOTTE)",,150.00,1,"CHbearings",150.00
"Honda of Concord",165594,"P","O",,"07/27/2005",,"06/16/25",30823,"STATELINE CHRYSLER JEEP DODGE RAM",,4.45,"1
1","68335620-AC BRACKET P 23043005
68335623-AC BRACKET P 23043005","2.25
2.20"
"Honda of Concord",257282,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257283,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257284,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257285,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257286,"P","U",,"10/03/2017","acctg01","06/16/25",341113,"INTERSTATE ALL BATTERY CENTER",,160.50,1,"KI2032",160.50
"Honda of Concord",257287,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257288,"P","U",,"05/22/2018","acctg01","06/16/25",361445,"MAVIS TIRE SUPPLY LLC",,154.00,1,"KIro-529356",154.00
"Honda of Concord",257289,"P","A",,"08/11/2016","acctg01","06/16/25",304379,"VGP HOLDINGS LLC",,3814.56,1,"KIOIL-STOCK",3814.56
"Honda of Concord",257290,"P","U",,"09/09/1992","acctg01","06/16/25",999006,"HONDA OF CONCORD",,127.80,1,"KIRO-527686",127.80
"Honda of Concord",257291,"P","U",,"02/07/2012","acctg01","06/16/25",50505,"AUTOZONE",,-109.99,1,"KICREDIT-2260A",-109.99
"Honda of Concord",257292,"P","U",,"02/07/2012","acctg01","06/16/25",50505,"AUTOZONE",,-37.99,1,"KICREDIT-2260A",-37.99
"Honda of Concord",257293,"T","U",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,70.00,,"TINT",70.00
"Honda of Concord",257294,"P","A",,"04/29/2014","acctg01","06/16/25",888175,"HENDRICK KIA CONCORD",,256.86,"1
2","5-810-1H9--A60 BRAKE PA
5-171-2H8--500 ROTORS","91.50
82.68"
"Honda of Concord",257295,,"V",,"01/13/1992",,,999002,"RICK HENDRICK CITY CHEVROLET",,0.00,,,
"Honda of Concord",257296,"P","A",,"01/13/1992",,"06/16/25",999002,"RICK HENDRICK CITY CHEVROLET",,24.47,1,"8-680-535-3 HOUSING",24.47
"Honda of Concord",257297,"T","O",,"01/31/2012","acctg01","06/16/25",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI",,500.00,,"EXT. DETAIL",500.00
"Honda of Concord",257298,"T","R",,"01/31/2012","acctg01","06/16/25",888169,"HENDRICK CHRYSLER DODGE JEEP RAM FI",,440.00,,"UCP
CLAY BAR AND BUFF","244.00
196.00"
"Honda of Concord",257299,"P","A",,"12/02/2005","servc01","06/16/25",129021,"MODERN HYUNDAI",,638.09,1,"8-571-5S1--300 BOARD",638.09
"Honda of Concord",257300,"P","A",,"12/02/2005","servc01","06/16/25",129021,"MODERN HYUNDAI",,388.61,"1
1","9-240-5J9--000 LAMP ASS
8-661-0J9--001 COVER","96.65
291.96"
"Honda of Concord",257301,"P","A",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,103.24,"1
1
1
1
1
1
5
1","2-200-420 AIR FILT
230265 CABIN FI
2-133-4MP OIL FILT
H281 REAR WIP
60261 WIPER 26
60161B WIPER 16
75530 5W20
B-P17-916--LLN BULB","16.82
15.33
2.59
10.10
10.13
13.80
5.80
5.47"
"Honda of Concord",257302,"T","R",,"12/03/1992","acctg01","06/16/25",888049,"HENDRICK HONDA EASLEY",,724.20,,"WINDSHIELD",724.20
"Honda of Concord",257303,"P","A",,"02/07/2012","acctg01","06/16/25",50505,"AUTOZONE",,9.36,1,"KISTP-CAF15054P",9.36
"Honda of Concord",257304,"P","A",,"09/09/1992","acctg01","06/16/25",999006,"HONDA OF CONCORD",,445.71,1,"335-50T-LA4-06 taillamp",445.71
"Honda of Concord",257305,"P","A",,"09/06/2023","acctg01","06/16/25",538960,"PRIME AUTO SUPPLY",,747.00,300,"06L-103-801 DRAIN PL",2.49
"Honda of Concord",257306,"P","A",,"01/22/2013","parts01","06/16/25
06/16/25",195895,"NAPA AUTO PARTS",,525.77,"1
1
1
2
2
1
1
1
1
1
1
1","9847 BATTERY
S-G77-84X BRAKE PA
S-G84-49B-X BRAKE PA
4-888-177-3 ROTOR
4-888-011-3 ROTOR
1-875-009-5 SWAY BAR
1-875-009-4 SWAY BAR
2-200-215 AIR FILT
2-230-179 CABIN FI
2-135-8MP OIL FILT
6-028-1 WIPER 28
6-018-1 WIPER 18","214.70
36.99
36.99
39.00
39.00
18.30
18.66
11.53
9.74
2.59
10.13
10.14"
"Honda of Concord",257307,"P","A",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,3.59,1,"KINP-27064MP",3.59
"Honda of Concord",257308,"P","A",,"01/22/2013","parts01","06/16/25",195895,"NAPA AUTO PARTS",,116.75,"2
1","4-888-178-6 ROTORS
P-851-24N PADS","39.00
38.75"
"Honda of Concord",257309,,"V",,,,,,,,0.00,,,
"Honda of Concord",494070,"T","R",,"09/17/2020","acctg01","06/16/25",441035,"FLEET ARMOR",,80.00,,"TINT",80.00
